establecimiento_nro_registro;establecimiento_denominacion;direccion;establecimiento_tipo;fabricante_tipo_codigo;fabricante_tipo_desc
EA00048;Tecnisor Audífonos S.A.;Calle De José Ortega Y Gasset, Nº 54  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00049;Widex Audífonos;Calle De Preciados, Nº 44, Piso/Puerta 6º  28013, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00050;Natura Centro Auditivo, S.L.;Calle De Goya, Nº 58, Piso/Puerta 1º D  28001, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00051;Completvisión, S.L.;Calle De La Telefónica, Nº 12  28944, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00052;Abel Ópticos;Calle Del Marqués De La Valdavia, Nº 30  28100, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00053;Audifon Iberica, S.L.;Calle De Alcalá, Nº 304  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00054;Audifon Iberica, S.L.;Avenida De La Albufera, Nº 46, Piso/Puerta LOCAL  28053, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00055;Audio Selección, S.L.;Paseo De Las Delicias, Nº 38, Piso/Puerta LOCAL  28045, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00056;General Óptica, S.A.;Calle Narvaez, Nº 8  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00058;Farmacia Antonio Benito Salvador;Avenida San Diego, Nº 140  28018, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00059;Centro Óptico Auditivo Veroir;Calle De Ventura Rodríguez, Nº 2, Piso/Puerta LOCAL 3  28008, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00060;Delar 2004, S.L.;Calle Hortensias, Nº 14  28607, Álamo, El (Madrid);Establecimientos de audioprótesis;;
EA00061;Visión Vallecas Villa;Calle Del Congosto, Nº 45  28031, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00063;Amplifon Iberica, S.A.;Calle Diego De León, Nº 52  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00064;Amplifon Iberica, S.A.;Avenida Filipinas, Nº 16  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00067;Amplifon Iberica, S.A.;Paseo De Extremadura, Nº 18  28011, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00068;Multiópticas Loreto (Optymed);Avenida De Badajoz, Nº 50  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00069;Multiópticas Loreto (Optymed);Avenida Virgen De Loreto, Nº 53  28850, Torrejón De Ardoz (Madrid);Establecimientos de audioprótesis;;
EA00070;Multiópticas Loreto (Optymed);Avenida Constitución, Nº 34  28850, Torrejón De Ardoz (Madrid);Establecimientos de audioprótesis;;
EA00071;Multiópticas Loreto (Optymed);Avenida De Bruselas, Nº 46  28028, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00072;Multiópticas Loreto (Optymed);Avenida Lisboa, Nº 25  28850, Torrejón De Ardoz (Madrid);Establecimientos de audioprótesis;;
EA00073;Abel Ópticos (San Antón-Parla);Calle San Antón , Nº 58  28982, Parla (Madrid);Establecimientos de audioprótesis;;
EA00074;Audifón Ibérica, S.L.;Paseo De Extremadura, Nº 109, Piso/Puerta 1º d  28011, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00076;Audio Selección, S.L.;Calle De La Marquesa Viuda De Aldama, Nº 35  28100, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00077;Audifon Iberica S.L.;Calle Conde Peñalver, Nº 18  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00078;Audio Selección, S.L.;Avenida Dos De Mayo, Nº 21  28934, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00079;Audio Selección, S.L.;Avenida De Fuenlabrada, Nº 45  28912, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00080;Audio Selección, S.L.;Calle De La Princesa, Nº 69, Piso/Puerta Local  28008, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00082;Alpovisión;Calle Castillo Simancas, Nº 18  28037, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00083;Clinisord 2002, S.L.;Calle De Leganés, Nº 24, Piso/Puerta local  28945, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00084;Centro Auditivo Lledo;Calle María Teresa Saenz De Heredia , Nº 53  28017, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00085;Clinisord, S.A.;Paseo De Las Acacias, Nº 4  28005, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00086;C&F Visioncare, S.L.;Calle Oña, Nº 157  28050, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00087;Pedro Expósito Ramos (Otosón);Calle Nuestra Señora De Begoña, Nº 5  28911, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00088;Audio Selección, S.L.;Calle Mayor, Nº 52, Piso/Puerta local  28922, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA00089;Opticalia San Gabino, S.L.;Calle De Monasterio De Arlanza, Nº 20  28049, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00090;Farmacia Óptica Conde De Orgaz;Avenida De Machu Picchu, Nº 37  28043, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00091;Óptica Leganés;Avenida De Europa, Nº 21  28943, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00092;Farmacia Optica Riaza (Díaz Del Valle, C.B.);Calle De Riaza, Nº 45  28023, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00093;Centro Óptico Visión Soto;Calle Paular, Nº 3  28791, Soto Del Real (Madrid);Establecimientos de audioprótesis;;
EA00094;Centro Óptico Auditivo Herrera Sánchez;Calle De Cracovia, Nº 15  28022, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00095;Clinisord, S.A.;Avenida Felipe Ii, Nº 6  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00096;Compañía De Óptica Acústica Y Ortopedia, S.L.;Carretera Nacional Ii, Nº KM 16500  28830, San Fernando De Henares (Madrid);Establecimientos de audioprótesis;;
EA00097;Antonia Naranjo Medina (La Magia De La Salud);Calle Alegría De La Huerta, Nº 24  28041, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00098;Óptica Audiovisión;Calle Bardenas, Nº 10  28915, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00099;Mejor Audio, S.L.;Calle De O'Donnell, Nº 53, Piso/Puerta Local 12  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00100;Juan Ramón Conde Ruiz (Farmacia Conde);Avenida Monte Igueldo, Nº 14  28053, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00101;Widex Audífonos;Calle De Velázquez, Nº 27, Piso/Puerta BAJO DERECHA  28001, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00102;Audivox Sistemas Médicos, S.A.;Calle Del Príncipe De Vergara, Nº 57, Piso/Puerta 1ºC  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00103;Rafael Rivero González;Plaza Del Doctor Marañón, Nº 2  28821, Coslada (Madrid);Establecimientos de audioprótesis;;
EA00104;Hitas Audiology Solution, S.L.;Avenida De La Industria, Nº 53, Piso/Puerta 1º  28108, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00105;Abc Visión, S.L.;Calle Gran Avenida, Nº 29  28041, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00106;Felisa Aguado Acevedo;Calle Del Marqués De La Valdavia, Nº 41  28100, Alcobendas (Madrid);Establecimientos de audioprótesis;;
EA00107;Marco Óptico;Avenida Del Alcalde José Aranda, Nº 55  28924, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA00108;Alba Óptica;Calle Maqueda, Nº 42  28024, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00109;C&D Visión;Avenida Pablo Neruda , Nº 81  28400, Estremera (Madrid);Establecimientos de audioprótesis;;
EA00110;Centrolens Óptica;Calle Luva , Nº 7  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00111;Centro Óptico Alpe;Calle Pilar, Nº 7  28430, Alpedrete (Madrid);Establecimientos de audioprótesis;;
EA00112;Calvo Óptico, S.L.;Calle León, Nº 4  28014, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00113;Centro Óptico Carabanchel;Calle Nuestra Señora De La Luz , Nº 8  28108, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00114;Centro Óptico Don Cristal;Avenida Aviación, Nº 73  28044, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00115;Centro Óptico Estilo;Calle Somontin, Nº 100  28033, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00116;Centro Óptico García Morilla;Calle Guareña , Nº 8  28044, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00117;Centro Óptico Look;Calle General Ricardos, Nº 9  28019, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00118;Óptica Puerta Del Sur;Plaza De Ondarreta , Nº 4, Piso/Puerta Local  4 y 14  28923, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA00119;Centro Óptico San Agustín;Avenida De Madrid, Nº 18  28750, San Agustín Del Guadalix (Madrid);Establecimientos de audioprótesis;;
EA00120;Centro Óptico Zoyme;Calle Camino Viejo De Leganés, Nº 170  28025, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00121;Angeles Criado Alcázar;Calle Aldeanueva De La Vera, Nº 19  28044, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00122;Cuota Óptico;Calle De José Abascal, Nº 24  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00123;Central Óptica;Calle Vía Carpetana, Nº 167  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00124;Livor Visión, S.L.;Cuesta De San Francisco, Nº 9  28231, Rozas De Madrid, Las (Madrid);Establecimientos de audioprótesis;;
EA00129;Centro De Ópticas Interóptica Noroeste, S.L.;Calle Gran Vía, Nº 26  28220, Majadahonda (Madrid);Establecimientos de audioprótesis;;
EA00130;Galax Óptica;Calle De Los Hermanos De Pablo, Nº 13  28027, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00131;Ópticas Covilent;Avenida De Covibar, Nº 8, Piso/Puerta Local 20  28523, Rivas-Vaciamadrid (Madrid);Establecimientos de audioprótesis;;
EA00132;Farmacia Luís F. Herrero Quintero;Paseo De La Castellana, Nº 181  28046, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00133;Bini-Beca Óptica;Carretera De Loeches, Nº 1  28500, Arganda Del Rey (Madrid);Establecimientos de audioprótesis;;
EA00134;Farmacia Óptica Jardines;Calle Jardines, Nº 11  28013, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00135;Farmacia Óptica Quiralte;Calle Marquesa De Silvela, Nº 4  28026, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00136;Farmacia Manuel Aguado Casado;Calle Conde De Peñalver, Nº 34  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00137;Farmacia Ángel Herrero Muñoz;Calle Sierra Picos De Europa, Nº 24  28923, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA00138;Farmacia Óptica Mellado Ruvira;Calle Ángel Múgica, Nº 1  28034, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00139;Guillo Ópticos, S.L.;Avenida Peña Prieta, Nº 43  28038, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00140;Guillo Ópticos, S.L.;Paseo De La Castellana, Nº 117  28046, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00141;Gabriel Geso Ópticos;Calle De La Plaza, Nº 31  28944, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00142;G.T. Visión;;Establecimientos de audioprótesis;;
EA00143;G.T. Visión;Calle De Los Ángeles, Nº 5  28944, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00144;Grupo Opas Ópticos Asociados, S.L.;Avenida De España, Nº 4  28941, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00145;José Luís Óptico;Calle Ramón Sainz, Nº 38  28025, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00146;Lázaro Visión;Calle Doctor Esquerdo, Nº 213  28007, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00147;Legaópticos,S.L.;Calle Butarque, Nº 5  28911, Leganés (Madrid);Establecimientos de audioprótesis;;
EA00148;Milano Ópticos;Calle Tomás Borrás, Nº 8  28045, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00149;Multiópticas Abascal;Calle Tomás Borrás, Nº 8  28045, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00150;Multiópticas Abascal;Avenida Ejército, Nº 14  28500, Arganda Del Rey (Madrid);Establecimientos de audioprótesis;;
EA00151;Multiópticas Abascal;Avenida Moratalaz, Nº 92  28030, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00152;Multiópticas Abascal;Calle José Abascal, Nº 19  28003, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00153;Centro Auditivo Fer-San (Digitone, S.L.);Plaza Cervantes, Nº 18, Piso/Puerta 2º-B  28801, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00154;Multiópticas Abascal;Plaza De Sierra Gador, Nº 3  28031, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00155;Multiópticas Central;Calle De Fuenlabrada, Nº 15  28921, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA00156;Multiópticas Ordovás;Calle Eloy Gonzalo, Nº 33  28010, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00157;Multivisión Alcorcón;Centro Comercial Parque Alcorcón  28925, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA00158;Multivisión Ocampo;Avenida De Juan Carlos I, Nº 1  28905, Getafe (Madrid);Establecimientos de audioprótesis;;
EA00159;Multivisión Díaz;Calle Del Camino Viejo De Leganés, Nº 98  28025, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00161;Óptica Nayco;Avenida Del Dos De Mayo, Nº 25  28934, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00162;Optalsol, S.L.;Calle Alfonso X El Sabio, Nº 20  28982, Parla (Madrid);Establecimientos de audioprótesis;;
EA00163;Optica Abtao;Calle Abtao, Nº 25  28007, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00164;Óptica Bonil;Paseo Santa Mª De La Cabeza, Nº 43  28045, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00165;Óptica Bulevar;Paseo Federico García Lorca, Nº 19  28031, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00166;Óptica Carrero;Calle Marcelo Usera, Nº 78  28026, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00167;Óptica Cervantes, S.L.;Plaza Cervantes, Nº 28  28801, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00168;Óptica Corbera-48;Avenida Marqués De Corbera, Nº 48  28017, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00169;Óptica Collado;Calle De Martín De Vargas, Nº 11  28005, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00170;Óptica Flo'S, S.L.;Calle San Bernardo , Nº 128  28015, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00171;Óptica Cottet, S.A.;Avenida Del Monte Igueldo, Nº 21  28053, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00172;Óptica Cottet, S.A.;Calle De Santa Engracia, Nº 54  28010, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00173;Óptica Cottet, S.A.;Calle Príncipe , Nº 5  28012, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00174;Óptica Cottet, S.A.;Calle Gran Vía, Nº 55  28013, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00175;Óptica Cottet, S.A.;Calle Serrano, Nº 31  28001, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00176;Óptica Chinchón;Avenida Regimiento De León  28370 (Madrid);Establecimientos de audioprótesis;;
EA00177;Óptica Diva;Calle Sarria , Nº 52  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00178;Óptica El Bercial;Calle Italia, Nº 2  28907, Getafe (Madrid);Establecimientos de audioprótesis;;
EA00180;Centro Auditivo Pina, S.L.;Calle Tomás Bretón, Nº 11  28045, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00181;Óptica Galán;Calle Illescas, Nº 187  28047, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00182;Farmacia Optica Candido Corrales;Calle Imagen, Nº 19  28018, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00183;Óptica Lage;Calle Parque Vosa, Nº 26  28933, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00184;Marín 4;Calle Villa De Marín , Nº 4  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00188;Óptica Guia;Calle Antonio, Nº 2  28029, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00189;Óptica Jeymar;Calle , Nº 17  28440, Guadarrama (Madrid);Establecimientos de audioprótesis;;
EA00190;Óptica Dorff;Calle Alcalá, Nº 134  28009, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00192;Livor Visión, S.L.;Calle Honorio Lozano, Nº 1  28400, Collado Villalba (Madrid);Establecimientos de audioprótesis;;
EA00193;Óptica Llorente;Paseo De Goya, Nº 24  28932, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00194;Óptica Man;Calle Cava De San Miguel, Nº 2  28005, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00195;Marco Óptico;Calle Parque Vosa, Nº 16  28933, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00196;Marco Óptico;Paseo Estación, Nº 18  28944, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00200;Óptica Megavisión;Calle Almendralejos, Nº 4  28140, Fuente El Saz De Jarama (Madrid);Establecimientos de audioprótesis;;
EA00201;Óptica Mecavisión;Calle Méntrida, Nº 10  28043, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00202;Óptica Fuenlabrada;Calle Portugal, Nº 33, Piso/Puerta Local 105  28943, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
EA00203;Óptica Mejorada;Calle Mayor, Nº 18, Piso/Puerta Local 5  28840, Mejorada Del Campo (Madrid);Establecimientos de audioprótesis;;
EA00204;Óptica Mirasierra;Calle La Masó, Nº 2  28034, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00205;Óptica Muñóz;Calle Tinte, Nº 4  28803, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00206;Óptica Muñóz;Paseo De Los Curas, Nº 1  28803, Alcalá De Henares (Madrid);Establecimientos de audioprótesis;;
EA00207;Óptica Medica  Rios;Calle Juán José Martínez Seco, Nº 5  28021, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00208;Óptica Nayco;Avenida De La Constitución, Nº 26  28931, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00209;Rivas Ópticos, S.L. Tu Visión Rivas;Plaza Del Monte Ciruelo, Nº 2-5  28529, Rivas-Vaciamadrid (Madrid);Establecimientos de audioprótesis;;
EA00210;Óptica Nuevo Centro;Calle De Jerónimo Del Moral, Nº 5  28350, Ciempozuelos (Madrid);Establecimientos de audioprótesis;;
EA00211;Óptica Oporto;Avenida De Oporto , Nº 12  28019, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00212;Óptica Ortigosa;Calle Del Hospital, Nº 18  28320, Pinto (Madrid);Establecimientos de audioprótesis;;
EA00213;Óptica Ortiz;Calle De Carabelos, Nº 20  28041, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00214;Centro Auditivo Sotone, S.L.;Calle Oca, Nº 105  28025, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00215;Óptica Parque;Calle Illescas, Nº 61  28024, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00216;Óptica Visión Norte;Calle Ofelia Nieto, Nº 5  28039, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00217;Óptica Visión Tres;Calle Severo Ochoa, Nº 18  28981, Parla (Madrid);Establecimientos de audioprótesis;;
EA00218;Optivisión;Calle De Simón Hernández, Nº 51, Piso/Puerta CC.Villafontana  28936, Móstoles (Madrid);Establecimientos de audioprótesis;;
EA00219;Optolent, S.L.;Calle Juan Bravo, Nº 63  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00220;Optired;Calle Estrella De Elola, Nº 13  28342, Valdemoro (Madrid);Establecimientos de audioprótesis;;
EA00221;Óptica Villamadrid;Calle Sánchez Barcaiztegui, Nº 34, Piso/Puerta Local 3  28007, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00222;Ópticos 88, S.L.;Calle José Antonio, Nº 16  28110, Algete (Madrid);Establecimientos de audioprótesis;;
EA00223;Ópticos 88, S.L.;Calle De Antonio López, Nº 30  28019, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00224;Ópticos 88, S.L.;Calle , Nº 41-42 , Torrejón De Ardoz (Madrid);Establecimientos de audioprótesis;;
EA00225;Ortosur Ortopedia Técnica;Calle Anoeta, Nº 10  28041, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00226;Perfil Visión;Calle Polvoranca, Nº 10  28901, Getafe (Madrid);Establecimientos de audioprótesis;;
EA00227;Perlux, S.L.;Calle Arturo Soria, Nº 187  28043, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00228;Perlux, S.L.;Calle López De Hoyos, Nº 124  28002, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00229;Multióptica Central;Calle Infantas, Nº 4  28922, Alcorcón (Madrid);Establecimientos de audioprótesis;;
EA00230;Ribolen Multiópticas;Calle Gobernador, Nº 56  28300, Aranjuez (Madrid);Establecimientos de audioprótesis;;
EA00231;Rivas Ópticos, S.L. Tu Visión Miro;Plaza De Federico García Lorca, Nº 1  28523, Rivas-Vaciamadrid (Madrid);Establecimientos de audioprótesis;;
EA00233;María Scola Urquizu;Calle María De Molina, Nº 12  28006, Madrid (Madrid);Establecimientos de audioprótesis;;
EA00234;Tu Visión Miro;Calle De Leganés, Nº 25  28945, Fuenlabrada (Madrid);Establecimientos de audioprótesis;;
